songName,songArtist,spotifyURI,r,g,b
Stare at Each Other & Fall in Love,Daniela Andrade,spotify:track:4u1lgRgQl4dM93v5cE5lil,182,250,111
Close 2 U,Raveena,spotify:track:7rgvhF2a3WjRkRtx2lndyc,252,242,174
Feel Good (From the Netflix Film YES DAY),Saint Motel,spotify:track:7r8JDlUEYeIqBg6dLBIb8P,250,115,70
hill,mt.fujitive,spotify:track:13o0yDbeV9CyBQCM6bb03M,219,177,99
You Swore Your Love Would Burn,This Wild Life,spotify:track:38Ow4VblwWpYWyKHouFKDd,240,211,84
Follow You,Imagine Dragons,spotify:track:7FdUvDkaE24o3FPIWTvzv2,65,157,232
Fire Your Gun,Beshken,spotify:track:1g7ANutaiaPpw6t0zW6DuZ,112,253,255
My Funny Valentine (feat. Herbie Hancock),"Sting, Herbie Hancock",spotify:track:2XlwQp17g1hnMGueyMY6pr,77,255,219
III. Scherzo. Ziemlich schnell - Trio,"Anton Bruckner, Christian Thielemann, Wiener Philharmoniker",spotify:track:4vyUYXSTSUFbeSRktpyyRN,237,140,21
"24 Preludes, Op. 28: IV. No. 4 in E Minor - Largo","Frederic Chopin, Charles Richard-Hamelin",spotify:track:12UW5BulUI0y1KyJLKK2Dr,17,6,138
Deadline,Grouplove,spotify:track:76pUPMbmu0ENmuAiaTPvIq,167,81,224
Driveway,Karavelo,spotify:track:45kOFxhqFVAX68s0bzO4ln,77,146,176
orange hues,aqualina,spotify:track:3vhjxwCSm53zqjmLhvF8eI,27,156,147
"Piano Sonata No. 5 in G Major, K. 283: I. Allegro","Wolfgang Amadeus Mozart, Peter Donohoe",spotify:track:6zL3h6uqAEebJcOtz71fKN,137,196,201
This is Love,"Kina Grannis, Imaginary Future",spotify:track:6CDu3trOSGrYXfmfZDKVkN,250,219,132
"Train, Cold, Snow",Joey Pecoraro,spotify:track:1t4KoXjUlk2mUkwwOE8UFb,234,255,112
Elegie,"Jules Massenet, Enrico Caruso, Mischa Elman, Percy B. Kahn",spotify:track:0w0bhEIwaGQRXga3rrY9AF,116,18,201
???? ????,Rami Kleinstein,spotify:track:2lFLiKxuge2UP5oBaAjlEg,137,54,209
In Your Eyes,BADBADNOTGOOD,spotify:track:2yDqLOQH1uQf3FGhcCmcPF,35,112,207
Everybody,Mac Miller,spotify:track:2yDqLOQH1uQf3FGhcCmcPF,15,27,163
Sand People,Zack Villere,spotify:track:45uDtD6s3y0V4tkWZrPDXy,133,18,179
?????? ?? ????? ??????,Kino,spotify:track:4g87T7h8coshsA1zJjFFbG,209,124,33
In Your Eyes,Peter Gabriel,spotify:track:1wyluqXP2ujdTpCfm1E617,98,54,217
Caruso,Andrea Bocelli,spotify:track:4aYRqKIdN8605wm4p3tGNa,32,21,158
"Zou Bisou Bisou - From ""Retrospective: The Musc Of Mad Men"" Soundtrack",Jessica Pare,spotify:track:5R3Pq4PV6Q1mEKi2sNgkia,177,222,64
State Line,The Dip,spotify:track:3KGjaHIYe8WPqGxiXRojAU,230,136,69
The Moss,Cosmo Sheldrake,spotify:track:7l8gHk3b9AwjC7gRhOqtP4,7,36,168
Voy,Nella,spotify:track:7vKfWyhOpl1JzNScBPzElE,247,217,134
????? ??...,Lyube,spotify:track:6XtcBrWgNIedOLyGpKVrrR,48,50,102
Hungry Like the Wolf - US Remix; 2009 Remaster,Duran Duran,spotify:track:22OHjWIBGPZ39Es1KLQ7Sm,230,44,23
Six Months In A Leaky Boat,Split Enz,spotify:track:09SyWMKQWtzvMdaSKQFwxN,50,189,227
"Turandot / Act 3: ""Diecimile anni al nostro Imperatore…Padre augusto""","Giacomo Puccini, Dame Joan Sutherland, John Alldis Choir, London Philharmonic Orchestra, Zubin Mehta",spotify:track:3teTf6nwJOwWasZhlx4PyA,232,184,26
Just What I Needed,The Cars,spotify:track:4alHo6RGd0D3OUbTPExTHN,226,88,62
Stayin' Alive - Remastered Version,Bee Gees,spotify:track:3LmpQiFNgFCnvAnhhvKUyI,26,237,68
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,spotify:track:3M5eeHXgG4VplKNcsBC8Dj,255,218,8
Three Little Birds,Bob Marley & The Wailers,spotify:track:6A9mKXlFRPMPem6ygQSt7z,212,237,66
Wonderful Tonight,Eric Clapton,spotify:track:6zC0mpGYwbNTpk9SKwh08f,96,219,142
September,"Earth, Wind & Fire",spotify:track:3wpLkju0bJy89kjgdRys0j,186,34,224
Hotel California - 2013 Remaster,Eagles,spotify:track:4Vn7TykT27PIygBiZjTR2s,252,168,10
How Deep is Your Love,Bee Gees,spotify:track:2JoZzpdeP2G6Csfdq5aLXP,231,27,250
"You're The First, The Last, My Everything",Barry White,spotify:track:3rqXP37YkEnizabzjM7uIu,212,173,68
Hold the Line,TOTO,spotify:track:17arUdDWEinOOVrrVUkEM7,169,24,222
Dancing In The Moonlight,King Harvest,spotify:track:0q21FNwES2bbtcduB6kjEU,54,201,157
Goodbye Yellow Brick Road - Remastered 2014,Elton John,spotify:track:4IRHwIZHzlHT1FQpRa5RdE,3,94,168
I Say a Little Prayer,Aretha Franklin,spotify:track:0FD8KMG4pHp0O9clTpChjp,0,112,204
This Will Be Our Year,The Zombies,spotify:track:02KpkaZbiutsR0ucxce4Sh,87,179,255
Pale Blue Eyes,The Velvet Underground,spotify:track:3xjaiUvS1ilQFVR5WtzxX5,240,201,62
A Sunday Kind Of Love,Etta James,spotify:track:0zGLlXbHlrAyBN1x6sY0rb,230,167,60
Can't Take My Eyes off You,Frankie Valli,spotify:track:6ft9PAgNOjmZ2kFVP7LGqb,232,106,28
Breaking Up Is Hard to Do,Neil Sedaka,spotify:track:2x6pbpjVGjiWCcH89IK8AX,255,182,36
A Whiter Shade of Pale,Procol Harum,spotify:track:78ZqE2tjAxbqEGGlvGnQfT,255,31,221
Funhouse,Run River North,spotify:track:0A0yykuBIAaAZGg05cCaGK,255,81,0
Pasadena,Young Mister,spotify:track:3Bx6OJPieA4DjPW8IALD33,255,210,10
Dreamer,Ivory Hours,spotify:track:5ax60aZRwcKKgoolJYy6HE,255,74,3
Sweater Weather,The Neighbourhood,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,224,71,25
I Will Follow You into the Dark,Death Cab for Cutie,spotify:track:2ndWbjiiNBEOrlfToKlABE,247,226,119
Girl,Jukebox The Ghost,spotify:track:63OB8oKmBUUYiRtrRtFCvX,214,54,88
Way It Goes,Hippo Campus,spotify:track:6CES1554HcWMIVroJfmmBm,207,227,77
Mr. Brightside,Run River North,spotify:track:3dho80fD9LVp471UuFHEEr,245,225,152
Love & War in Your Twenties,Jordy Searcy,spotify:track:2NU2U0wWzGtZtuu1QsacOb,255,177,43
mercury retrograde,easy life,spotify:track:018fGjz0yWjrEqxTQJ8zjC,219,57,187
Born Again ,Saint Motel,spotify:track:7qdgz117gc5StS0u2ViinE,250,151,2
MIGHT DELETE LATER,LARRY PINK THE HUMAN,spotify:track:7FBGO7sUnXfRoTdnLxiRlw,255,119,41
Dream,Tessa Violet,spotify:track:5tx1H6IWMpMWuu3x2dltZo,237,119,217
No Story Time,Smallpools,spotify:track:1Vr5zSlQ1FrZglq7MrVmXF,245,101,69
I'll Keep You Safe,"Vluestar, Shiloh Dynasty",spotify:track:3YfNhioGntblm6ciPsCwC9,186,143,0
dreamin',53 Thieves,spotify:track:4PlzJVdaRYC9Fg2AqlOxer,173,81,166
homebody,Kamal.,spotify:track:3I3ZmlSouhOYDHGWn3w0CW,224,240,144
You're All I Want,Cigarettes After Sex,spotify:track:4nvLuqwTOZdEJI1fcHXv8h,176,33,136
Sunrise,Kevitch,spotify:track:504BrFbtkCK5GG8U0wb2qb,240,107,250
Rain,Lucy Park,spotify:track:72afDNRJsldkG7R02rRdA1,14,157,196
I Need U,yaeow,spotify:track:5lbdxt9C6rsELTimTkyMn8,0,179,255
Fleur Blanche,Orsten,spotify:track:0vpxHngtbm6hrdQZHsmOMb,52,141,237
Sola,Nina Cobham,spotify:track:237dlPXLNIsatIRYKRbCWN,227,180,52
walk but in a garden,Llusion,spotify:track:37bzRWttPZDNdJs24NZaUG,232,144,2
Slipping Away,LEISURE,spotify:track:0BCPHe2assdUDijB5gUuCU,165,214,4
4:38am,"ford., Barrie",spotify:track:1mCS2aMR3hGZV1stAkjLcV,242,234,136
Yours,maye,spotify:track:0gmStTUTuiU807EB4KafOX,189,222,104
Crazy,Hope Tala,spotify:track:4P5tPq60W4LLYcoXLgWlYx,101,90,224
cloud castle,Luna Li,spotify:track:3gyIcFToYNdOJycgMShtb2,255,191,122
peppermint,lavender,spotify:track:1YjEwY8FrctMA4MX0RkdRx,223,232,128
3am,"Jaspa, Chill Winston",spotify:track:2uWaQb9xq100a2QHDWQyRI,207,136,195
12:34 AM,"Billy Lemos, Omar Apollo, Maxwell Young",spotify:track:16iNVfWKKZPDjctIcd0KMn,189,115,230
Keep You Warm,Jaguar Sun,spotify:track:4GjWZDfWw5ZnW9vmioJwY0,255,200,3
Kingston,Faye Webster,spotify:track:0EDQwboQDmswDRn58wcslg,230,101,210
Pink + White,Frank Ocean,spotify:track:3xKsf9qdS1CyvXSMEid6g8,93,199,174
toward Osiris,"Matthias Pintscher, Sir Simon Rattle, Berliner Philharmoniker",spotify:track:2UEqfKWMx8SkbCQ9qLADW5,255,216,33
Great Spirit,Mandharu,spotify:track:3vJ61CUxt8qCqtI6wX5v4U,141,9,230
Who Do You Love,Tufts Beelzebubs,spotify:track:5H8R0llXeLDKXol9LHK1uD,38,67,255
Circle of Seasons,A3ders!,spotify:track:0INHmCFlkg3oI1vSlonQ0C,189,97,0
Skal vi tage til manen,Undertekst,spotify:track:6V2SwWJNMdzqAe8lEaX49t,240,124,0
Queen Compulsion,Craig John Davidson,spotify:track:0POeyOeXfSxEr92Zi84M6A,212,192,83
Camelblues,Mndsgn,spotify:track:6AQobWDXD64OnrlmIeZaja,199,111,101
I Saw Her Standing There - Remastered 2009,The Beatles,spotify:track:3KiexfmhxHvG5IgAElmTkd,52,235,58
Misery - Remastered 2009,The Beatles,spotify:track:40qXGg5nRbcWzcFb26KWkQ,235,164,52
Anna (Go To Him) - Remastered 2009,The Beatles,spotify:track:2baEFuU0gQon0hgVRioI1o,227,167,2
Chains - Remastered 2009,The Beatles,spotify:track:3JQWLa88R35d971o5bIImd,217,139,43
Boys - Remastered 2009,The Beatles,spotify:track:7JxGM1R32ZqfwZou3VtnTg,217,92,43
Ask Me Why - Remastered 2009,The Beatles,spotify:track:7529Z6b1rlGZFFPWjHPeV5,153,217,43
Please Please Me - Remastered 2009,The Beatles,spotify:track:6EHuOufBeL6vk3TvVJB5qo,224,121,11
Love Me Do - Remastered 2009,The Beatles,spotify:track:3VbGCXWRiouAq8VyMYN2MI,224,182,11
P.S. I Love You - Remastered 2009,The Beatles,spotify:track:7Msq9qojB7yORuJvz49iUy,250,244,125
Baby It's You - Remastered 2009,The Beatles,spotify:track:2VmB1rF9FtfKUmFHDVnq8Q,242,178,126
Do You Want To Know A Secret - Remastered 2009,The Beatles,spotify:track:7Aobt67JnaF7qN8jCCKvHq,181,199,16
A Taste Of Honey - Remastered 2009,The Beatles,spotify:track:7fh53ta3vAOGJMQ4i5tCHe,245,198,105
There's A Place - Remastered 2009,The Beatles,spotify:track:4dessGxnKXmTbHPhVgqODq,245,135,105
Twist And Shout - Remastered 2009,The Beatles,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,255,138,20
Sleepless,Epik High,spotify:track:6PuDnNxBJsxypNXqALqKgX,81,13,255
In Seoul,Epik High,spotify:track:4PA4shomDPO4XTHUYbNmjB,220,20,255
Lovedrunk,Epik High,spotify:track:2nRm7BbBcpVaInDBCag61K,6,0,166
Eternal Sunshine,Epik High,spotify:track:4fJCpN7FSKLMt22aKQxSuJ,78,212,189
No Different,Epik High,spotify:track:7ztlf9mCrjoLXAYYf0LCYx,78,0,235
Rain Again Tomorrow,Epik High,spotify:track:5E6YIdUMaGNxfyLjmutMKn,48,99,186
Lullaby For A Cat,Epik High,spotify:track:4uf6GYD0cShgYKvRiKDNYt,67,0,201
